Brand Name,,,Product Ratings,Number of ratings,,Selling Price,Original Price
HERE&NOW,,,4.2,136,,519,1299
Saree Swarg,,,4.2,14,,855,2250
Rain & Rainbow,,,,0,,1207,2195
Pistaa,,,4.3,12,,666,1899
YASH GALLERY,,,4.5,65,,643,1399
Anubhutee,,,4.3,824,,591,1739
ADA,,,,0,,,
MissKurti,,,4,6,,659,2199
AKIMIA,,,4,5,,674,1499
Indo Era,,,3.6,23,,919,1999
all about you,,,4.2,17,,509,1699
kipek,,,3.7,3,,769,1999
ADA,,,4.5,6,,,
Janasya,,,3.6,17,,710,1579
MALHAAR,,,5,7,,532,3329
Sztori,,,,0,,359,899
Ritu Kumar,,,,0,,,
YASH GALLERY,,,4.4,53,,588,2559
Biba,,,,0,,2079,2599
Aarika,,,4.3,44,,488,1879
Sztori,,,,0,,639,1599
Anubhutee,,,4,7,,511,1599
ADA,,,4.6,12,,,
Biba,,,,0,,,
ADA,,,4.1,15,,,
Ritu Kumar,,,,0,,,
Tissu,,,4.1,10,,494,1499
TORONFRAS,,,3.6,5,,637,2199
all about you,,,,0,,759,1899
Pistaa,,,,0,,704,1899
Bhama Couture,,,3.7,89,,809,1799
Tissu,,,4.2,5,,374,1499
Tissu,,,4.1,27,,599,1499
KALINI,,,3.9,7,,693,1050
Tissu,,,4.4,44,,599,1499
Indiankala4u,,,4.7,6,,1699,4500
Fashion FRICKS,,,4.1,9,,624,2499
Melange by Lifestyle,,,,0,,559,699
Pistaa,,,4.4,11,,614,1799
Melange by Lifestyle,,,,0,,399,499
Rain & Rainbow,,,,0,,797,1595
AKIMIA,,,3.1,9,,809,1799
Nimayaa,,,,0,,689,2999
Nayo,,,,0,,584,1299
Saree Swarg,,,4.1,13,,780,1950
kipek,,,,0,,759,1409
MissKurti,,,4.7,6,,659,2199
FASHOR,,,,0,,2309,4899
Anubhutee,,,4.3,43,,521,1739
Biba,,,,0,,,
Saanjh,,,3.9,22,,647,1799
Saanjh,,,3.9,22,,647,1799
Sztori,,,,0,,499,999
Anubhutee,,,4,59,,504,1739
ADA,,,,0,,,
Saanjh,,,4.3,46,,647,1799
ADA,,,,0,,,
Saanjh,,,4.3,56,,647,1799
InWeave,,,,0,,379,1999
Fabindia,,,,0,,1119,1599
Fashion FRICKS,,,4.4,8,,475,1699
ADA,,,,0,,,
TANKHI,,,4.1,22,,899,1999
Saanjh,,,4.2,18,,647,1799
Pistaa,,,4.5,23,,749,1999
Rain & Rainbow,,,,0,,747,1495
ADA,,,,0,,,
Tissu,,,,0,,389,1499
Pistaa,,,4.8,8,,720,1999
ADA,,,,0,,,
Ritu Kumar,,,,0,,,
Ritu Kumar,,,,0,,,
Ritu Kumar,,,,0,,,
Fabindia,,,,0,,1399,1999
Fabindia,,,4.8,8,,1399,1999
Nayo,,,,0,,599,1199
Aarika,,,4.1,42,,649,2499
Sztori,,,4.3,37,,639,1599
Saree Swarg,,,,0,,627,1650
Ritu Kumar,,,,0,,4130,5900
Lakshita,,,,0,,1097,2195
TORONFRAS,,,,0,,699,1999
Global Desi,,,,0,,1999,2499
MALHAAR,,,4.3,40,,683,1799
Aarika,,,4.3,63,,584,2249
Tissu,,,,0,,374,1499
Tissu,,,4,7,,599,1499
Lakshita,,,4.5,34,,1347,2695
Tissu,,,,0,,374,1499
PARAMOUNT CHIKAN,,,,0,,839,2099
all about you,,,4.6,7,,764,1699
ADA,,,4.4,83,,,
Fabindia,,,,0,,1329,1899
ETIQUETTE,,,3.9,8,,1329,1899
ADA,,,4.1,19,,,
ADA,,,4.3,17,,,
ADA,,,4.3,12,,,
Vishudh,,,4,416,,507,1449
PANIT,,,,0,,629,1799
Sangria,,,,0,,494,1499
Tissu,,,4.4,8,,494,1499
PARAMOUNT CHIKAN,,,4.5,23,,1399,2799
Saree Swarg,,,3.7,15,,660,1650
Saree Swarg,,,4,34,,780,1950
Fabindia,,,,0,,1049,1499
Soch,,,4.6,5,,999,1998
Fabindia,,,,0,,1049,1499
Soch,,,4.6,5,,999,1998
Saree Swarg,,,4.2,22,,558,1470
all about you,,,,0,,359,1199
Anubhutee,,,4.3,15,,486,1739
Anubhutee,,,4.4,5,,479,1599
Sangria,,,4.1,9,,379,1899
YASH GALLERY,,,4.3,30,,624,2499
Campana,,,,0,,719,799
MALHAAR,,,4.3,19,,620,1349
Pistaa,,,,0,,749,1999
HERE&NOW,,,4.1,21,,519,1299
KALINI,,,4.5,8,,,
Fabriko,,,4.2,113,,599,1999
HERE&NOW,,,,0,,574,2299
ADA,,,,0,,,
ADA,,,4.5,14,,,
Fabindia,,,,0,,1189,1699
HERE&NOW,,,3.9,33,,299,999
Pistaa,,,,0,,720,1999
Colour Me by Melange,,,4,7,,909,1299
Saree Swarg,,,3.8,14,,588,1470
Indo Era,,,3.2,13,,1749,4999
Indo Era,,,,0,,699,1999
Prakrti,,,4.5,6,,699,1999
PARAMOUNT CHIKAN,,,4.5,15,,881,2099
MALHAAR,,,,0,,574,2299
GERUA,,,,0,,349,1399
Saree Swarg,,,,0,,588,1470
MALHAAR,,,4,35,,683,1799
Fabindia,,,,0,,,
Fabindia,,,,0,,,
SERONA FABRICS,,,3.7,32,,679,3999
Shae by SASSAFRAS,,,4.4,7,,679,1699
PARAMOUNT CHIKAN,,,4,6,,1249,2499
INDYES,,,5,6,,674,1499
MALHAAR,,,4.4,44,,620,1349
MALHAAR,,,4.3,7,,781,2299
MALHAAR,,,4.8,12,,620,1349
Cottinfab,,,4.7,18,,659,1649
Cottinfab,,,4.3,18,,659,1649
Saree Swarg,,,3.9,15,,855,2250
Pistaa,,,4,21,,650,1799
KALINI,,,,0,,689,2299
fabGLOBAL,,,4,47,,906,1649
Tissu,,,4,3,,374,1499
PARAMOUNT CHIKAN,,,,0,,839,2099
MALHAAR,,,,0,,839,2799
MALHAAR,,,5,2,,574,2299
PARAMOUNT CHIKAN,,,,0,,799,1999
Saanjh,,,4.8,6,,647,1799
Lakshita,,,,0,,3140,3695
MALHAAR,,,4.7,13,,593,1799
Cottinfab,,,4.4,13,,639,1599
Tissu,,,4.2,175,,549,999
HERE&NOW,,,4.1,410,,399,999
PARAMOUNT CHIKAN,,,,0,,1549,3098
kipek,,,4.6,49,,699,1899
all about you,,,4.3,26,,599,1499
AURELIA,,,,0,,779,1299
ADA,,,4.7,27,,,
PARAMOUNT CHIKAN,,,,0,,799,1999
Aarika,,,4.4,37,,599,2499
Tissu,,,4.4,45,,599,1499
Tissu,,,4.5,26,,599,1499
Aarika,,,4,12,,539,1999
Tissu,,,4.5,6,,599,1499
Anubhutee,,,4,32,,608,1739
Pistaa,,,,0,,619,2999
MAFE,,,2.9,16,,989,2199
theRebelinme,,,,0,,1475,2500
FAWOMENT,,,,0,,911,3037
Vishudh,,,3.9,532,,459,1149
PARAMOUNT CHIKAN,,,,0,,799,1999
ADA,,,4.3,78,,,
APPLIX STYLE,,,,0,,999,2499
Aarika,,,4.1,18,,1519,3999
Jaipur Morni,,,,0,,1599,3999
Fashion FRICKS,,,,0,,719,1599
Fashion FRICKS,,,,0,,719,1599
Fabindia,,,4,6,,1399,1999
SWAGG INDIA,,,4.2,30,,699,1749
ADA,,,3.9,7,,,
ADA,,,,0,,,
INDYA,,,,0,,950,1900
Rain & Rainbow,,,,0,,877,1595
Lakshita,,,,0,,1396,1995
MALHAAR,,,4,5,,620,1349
Cloth Haus India,,,,0,,1365,2100
Abhishti,,,,0,,1349,1499
studio rasa,,,,0,,899,1999
FNOCKS,,,,0,,899,2999
Lakshita,,,,0,,1347,2695
Fashfun,,,4.2,21,,679,1999
Aarika,,,4.2,42,,424,1249
Nimayaa,,,,0,,689,2999
TORONFRAS,,,4,5,,699,1999
Saree Swarg,,,4.3,12,,660,1650
Campana,,,,0,,674,749
Pistaa,,,4.3,11,,704,1899
﻿MALHAAR,,,4.5,17,,620,1349
Fabindia,,,,0,,,
shashvi,,,,0,,779,2598
YASH GALLERY,,,4.2,53,,649,2599
MALHAAR,,,,0,,699,1999
Cloth Haus India,,,,0,,1365,2100
Saanjh,,,4,21,,647,1799
Biba,,,4.4,10,,349,699
Saree Swarg,,,,0,,627,1650
STREET 9,,,4.2,20,,521,1799
Saree Swarg,,,,0,,630,2250
PARIKA CREATION,,,2.1,9,,855,2850
RAJGRANTH,,,4.2,34,,639,3999
Pistaa,,,4.1,26,,666,1899
Cottinfab,,,,0,,639,1599
PARAMOUNT CHIKAN,,,5,1,,881,2099
Saree Swarg,,,4.4,9,,627,1650
Rain & Rainbow,,,,0,,697,1395
MALHAAR,,,4.5,8,,574,2299
VEDANA,,,3.9,18,,629,1399
VASTRAMANIAA,,,4.4,5,,629,1399
DIVYANK,,,3.8,28,,499,1999
Lakshita,,,,0,,1247,2495
Cot'N Soft,,,,0,,670,1999
MALHAAR,,,,0,,532,3329
Saree Swarg,,,4.4,5,,1225,2850
Melange by Lifestyle,,,,0,,559,699
Aarika,,,4.2,37,,526,1879
max,,,,0,,,
max,,,,0,,,
Pistaa,,,3.8,26,,614,1799
TANKHI,,,,0,,809,1799
MALHAAR,,,3.7,18,,620,1349
Fab Star,,,4.1,16,,599,1199
Aprique FAB,,,4.1,37,,599,1499
Bhama Couture,,,4.4,22,,739,1999
Lakshita,,,,0,,,
Fabindia,,,,0,,1189,1699
MALHAAR,,,5,5,,574,2299
Aarika,,,4.4,50,,424,1249
Melange by Lifestyle,,,,0,,399,499
Lakshita,,,,0,,,
DIVYANK,,,4.2,13,,559,1999
CUPID,,,,0,,753,1299
Ritu Kumar,,,,0,,2250,4500
YASH GALLERY,,,4.3,7,,1185,4559
Pistaa,,,,0,,760,1999
VESICLE,,,3.2,14,,479,1599
SKYLEE,,,4.3,11,,762,2823
DIVINATION,,,4.5,26,,588,1400
V-Mart,,,4.7,17,,340,400
Fabindia,,,,0,,,
Tissu,,,,0,,374,1499
Cloth Haus India,,,,0,,2160,3600
ADA,,,,0,,,
ADA,,,,0,,,
KBZ,,,4,23,,734,2099
Biba,,,3.7,3,,449,899
Indo Era,,,3.8,10,,702,1899
SVARCHI,,,4.5,6,,701,1799
all about you,,,4.3,3,,594,1699
SWAGG INDIA,,,3.3,12,,699,1749
Indo Era,,,4.3,7,,699,1999
kipek,,,,0,,699,1599
ADA,,,,0,,,
Anubhutee,,,4.1,69,,521,1739
Rain & Rainbow,,,,0,,897,1995
HERE&NOW,,,3.6,12,,519,1299
HERE&NOW,,,,0,,574,2299
MALHAAR,,,,0,,574,2299
MALHAAR,,,,0,,574,2299
MALHAAR,,,3.8,86,,687,1349
Prakrti,,,4.1,7,,509,1699
Anubhutee,,,,0,,509,1699
INDYES,,,4.8,9,,674,1499
Saree Swarg,,,,0,,672,1770
Saree Swarg,,,,0,,672,1770
Cot'N Soft,,,3.4,5,,670,1999
Melange by Lifestyle,,,,0,,479,599
V TRADITION,,,,0,,999,1999
Indiankala4u,,,4.8,16,,999,2500
YASH GALLERY,,,4.1,33,,666,1449
PARAMOUNT CHIKAN,,,,0,,799,1999
MALHAAR,,,4.2,13,,620,1349
TORONFRAS,,,3.9,7,,1049,2999
ADA,,,3.9,14,,,
ADA,,,4.6,8,,,
ADA,,,,0,,,
ADA,,,4.9,9,,,
Azira,,,,0,,688,1299
KALINI,,,2.7,15,,512,1899
Sangria,,,,0,,989,4499
Campana,,,,0,,719,799
FAWOMENT,,,,0,,911,3037
FAWOMENT,,,,0,,911,3037
Fabindia,,,,0,,1959,2799
all about you,,,,0,,759,1899
MALHAAR,,,4.8,6,,574,2299
Pistaa,,,4.4,25,,649,1799
